Districts,Year,Flood_Frequency,Mean_Duration,Mean_Severity,AFSI,Dist_Name_x,Human_fatality,Human_injured,Population,Mean_Flood_Duration,Dist_Name_y,Percent_Flooded_Area,Parmanent_Water,Corrected_Percent_Flooded_Area,Population_Exposure_Ratio,Flood_Risk_Index,Area_Exposure,Severity_Score
"Akola, Bhandara, Chandrapur, Nagpur,Yavatmal",2005,1,1,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,1.000057375,18263.97663,
"Akola, Chandrapur,Nagpur",2005,1,1,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,1.000057375,18263.97663,
"Akola, Gadchiroli",2019,1,1,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,1.000057375,18263.97663,
"Akola, Mumbai, Yavatmal",1992,1,1,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,1.000057375,18263.97663,
Alappuzha,1979,1,10,,,Alappuzha,170,70,2167462,5,Alappuzha,21.06652893,8.660110439,12.40641849,7.84E-05,10.00078433,268904.4063,
Alappuzha,1984,1,1,,,Alappuzha,170,70,2167462,5,Alappuzha,21.06652893,8.660110439,12.40641849,7.84E-05,1.000078433,268904.4063,
Alappuzha,1993,1,1,,,Alappuzha,170,70,2167462,5,Alappuzha,21.06652893,8.660110439,12.40641849,7.84E-05,1.000078433,268904.4063,
Alappuzha,2020,2,1,,,Alappuzha,170,70,2167462,5,Alappuzha,21.06652893,8.660110439,12.40641849,7.84E-05,2.000156865,268904.4063,
Alappuzha,2021,1,9,,,Alappuzha,170,70,2167462,5,Alappuzha,21.06652893,8.660110439,12.40641849,7.84E-05,9.000705895,268904.4063,
Alappuzha,2022,1,1,,,Alappuzha,170,70,2167462,5,Alappuzha,21.06652893,8.660110439,12.40641849,7.84E-05,1.000078433,268904.4063,
Alappuzha,2023,1,5,,,Alappuzha,170,70,2167462,5,Alappuzha,21.06652893,8.660110439,12.40641849,7.84E-05,5.000392164,268904.4063,
"Alappuzha, Ernakulam, Idukki,  Kollam, Pathanamthitta, Thiruvananthapuram,Thrissur",1993,1,1,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,1.000057375,18263.97663,
"Alappuzha, Ernakulam, Idukki, Kannur, Kasaragod, Kollam, Kottayam, Kozhikode, Malappuram, Palakkad, Pathanamthitta, Thiruvananthapuram, Thrissur, Wayanad",2019,1,1,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,1.000057375,18263.97663,
"Alappuzha, Ernakulam, Idukki, Kannur, Kasaragod, Kollam, Kottayam, Kozhikode, Malappuram, Palakkad, Pathanamthitta, Thrissur, Thiruvananthapuram, Wayanad",2018,1,30,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,30.00172126,18263.97663,
"Alappuzha, Ernakulam, Idukki, Kannur, Kasaragod, Kollam, Kottayam, Pathanamthitta, Thiruvananthapuram,Thrissur",1994,1,7,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,7.000401627,18263.97663,
"Alappuzha, Ernakulam, Idukki, Kasaragod, Kochi,Kottayam, Kozhikode, Malappuram, Palakkad, Pathanamthitta,Thrissur,Thiruvananthapuram,Wayanad",2010,1,5,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,5.000286876,18263.97663,
"Alappuzha, Ernakulam, Idukki, Kasaragod, Kollam, Kottayam, Kozhikode, Malappuram, Palakkad, Pathanamthitta, Thiruvananthapuram,Thrissur",1994,1,14,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,14.00080325,18263.97663,
"Alappuzha, Ernakulam, Idukki, Kottayam, Malappuram, Pathanamthitta, Thiruvananthapuram,Thrissur",2011,1,4,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,4.000229501,18263.97663,
"Alappuzha, Ernakulam, Kannur, Kollam, Kozhikode, Palakkad, Thrissur,Wayanad",2006,1,1,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,1.000057375,18263.97663,
"Alappuzha, Ernakulam, Kollam, Kottayam",2020,1,1,,,,125,14,2010685,,,1.505747627,,0.908345993,5.74E-05,1.000057375,18263.97663,
