Districts,Year,Flood_Frequency,Mean_Duration,Human_fatality,Human_injured,Population,Corrected_Percent_Flooded_Area,Population_Exposure_Ratio,Flood_Risk_Index,Area_Exposure
Mirzapur,1985.0,1,21.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,21.00120487981952,18263.976629352048
Moradabad,1985.0,1,21.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,21.00120487981952,18263.976629352048
Muzaffarnagar,1985.0,1,21.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,21.00120487981952,18263.976629352048
Pilibhit,1985.0,1,21.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,21.00120487981952,18263.976629352048
Pratapgarh,1985.0,1,21.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,21.00120487981952,18263.976629352048
Rae Bareli,1985.0,1,21.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,21.00120487981952,18263.976629352048
Saharanpur,1985.0,1,21.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,21.00120487981952,18263.976629352048
Sitapur,1985.0,1,21.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,21.00120487981952,18263.976629352048
Sultanpur,1985.0,1,21.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,21.00120487981952,18263.976629352048
Unnao,1985.0,1,21.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,21.00120487981952,18263.976629352048
Varanasi,1985.0,1,21.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,21.00120487981952,18263.976629352048
Ahmedabad,1981.0,1,2.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,2.000114750459002,18263.976629352048
Ahmedabad,1982.0,1,1.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,1.000057375229501,18263.976629352048
Ahmedabad,2001.0,2,1.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,2.000114750459002,18263.976629352048
Ahmedabad,2019.0,1,1.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,1.000057375229501,18263.976629352048
Ahmedabad,2022.0,1,1.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,1.000057375229501,18263.976629352048
Ahmedabad,2017.0,1,122.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,122.00699977799913,18263.976629352048
Amreli,2017.0,1,122.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,122.00699977799913,18263.976629352048
Anand,2017.0,1,122.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,122.00699977799913,18263.976629352048
Arvalli,2017.0,1,122.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,122.00699977799913,18263.976629352048
Bharuch,2017.0,1,122.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,122.00699977799913,18263.976629352048
Banas Kantha,2017.0,1,122.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,122.00699977799913,18263.976629352048
Devbhumi Dwarka Dwarka,2017.0,1,122.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,122.00699977799913,18263.976629352048
Gandhinagar,2017.0,1,122.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,122.00699977799913,18263.976629352048
Gir Somnath,2017.0,1,122.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,122.00699977799913,18263.976629352048
Jamnagar,2017.0,1,122.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,122.00699977799913,18263.976629352048
Junagadh,2017.0,1,122.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,122.00699977799913,18263.976629352048
Kheda,2017.0,1,122.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,122.00699977799913,18263.976629352048
Kachchh,2017.0,1,122.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,122.00699977799913,18263.976629352048
Mahisagar,2017.0,1,122.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,122.00699977799913,18263.976629352048
Mahesana,2017.0,1,122.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,122.00699977799913,18263.976629352048
Morbi,2017.0,1,122.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,122.00699977799913,18263.976629352048
Navsari,2017.0,1,122.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,122.00699977799913,18263.976629352048
Panch Mahals,2017.0,1,122.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,122.00699977799913,18263.976629352048
Patan,2017.0,1,122.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,122.00699977799913,18263.976629352048
Rajkot,2017.0,1,122.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,122.00699977799913,18263.976629352048
Surat,2017.0,1,122.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,122.00699977799913,18263.976629352048
Surendranagar,2017.0,1,122.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,122.00699977799913,18263.976629352048
Dangs,2017.0,1,122.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,122.00699977799913,18263.976629352048
Valsad,2017.0,1,122.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,122.00699977799913,18263.976629352048
Ahmedabad,2016.0,1,120.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,120.00688502754012,18263.976629352048
Amreli,2016.0,1,120.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,120.00688502754012,18263.976629352048
Bharuch,2016.0,1,120.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,120.00688502754012,18263.976629352048
Bhavnagar,2016.0,1,120.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,120.00688502754012,18263.976629352048
Botad,2016.0,1,120.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,120.00688502754012,18263.976629352048
Udaiur,2016.0,1,120.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,120.00688502754012,18263.976629352048
Devbhumi Dwarka,2016.0,1,120.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,120.00688502754012,18263.976629352048
Devbhumi Dwarka Dwarka,2016.0,1,120.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,120.00688502754012,18263.976629352048
Dahod,2016.0,1,120.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,120.00688502754012,18263.976629352048
Gandhinagar,2016.0,1,120.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,120.00688502754012,18263.976629352048
Gir Somnath,2016.0,1,120.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,120.00688502754012,18263.976629352048
Jamnagar,2016.0,1,120.0,125.0,14.0,2010685.0,0.908345993,5.7375229500918e-05,120.00688502754012,18263.976629352048
